NAME	DESCRIPTION	KrasWT_1	KrasWT_2	KrasWT_3	KrasWT_4	KrasWT_5	KrasWT_6	KrasWT_7	KrasWT_8	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4	KrasG12D_5	KrasG12D_6	KrasG12D_7	KrasG12D_8
ENSMUSG00000034584		309.1560292	406.9981647	258.1783086	167.6936209	233.1229551	293.0503085	264.2771355	255.7123284	210.6809304	157.5595875	294.4561025	121.6810049	234.634648	233.8010795	262.2132396	219.9993916
ENSMUSG00000034586		1179.72919	1100.70614	1031.437808	1266.560838	666.8117046	1143.492367	1496.898626	1035.513799	1136.686639	1178.020329	870.9826354	633.2982184	1035.012023	397.9003288	505.8587708	641.6214414
ENSMUSG00000034591		75.33938057	77.58452355	62.27586263	107.6350042	209.797622	65.37643694	152.998365	70.59325352	70.53656219	62.16084325	73.44573703	115.1108802	63.19072827	47.34740849	57.41122298	116.368419
ENSMUSG00000034593		110.6000221	106.480357	37.99124929	138.0533241	195.4813829	36.43481097	192.7009268	81.50871417	78.94844065	154.4686584	112.8303256	153.5720484	109.5298742	56.45695549	125.8139826	81.87769291
ENSMUSG00000034595		64.43752717	51.13983561	70.05995533	191.7881518	108.2679342	32.6935755	149.027693	90.19483348	81.9566618	219.6812306	119.4735781	186.9371257	146.0369673	56.95258724	129.9760308	83.46025149
ENSMUSG00000034601		105.4965448	126.910726	109.0100243	113.909082	73.45519751	126.3404449	107.8856999	52.48157406	99.63315985	139.4754921	96.73641016	55.28559766	69.69715416	84.8078273	66.28424918	119.2854873
ENSMUSG00000034602		476.9112657	500.4480354	374.0574876	469.2653547	299.6325792	286.8289767	518.1866591	300.7676611	485.1684833	490.1433628	572.6909005	405.7176202	471.3680334	374.5886341	432.1821539	424.7079558
ENSMUSG00000034607		667.3167164	669.6596653	639.134525	672.8516944	508.5531329	808.8934899	775.3105325	943.0830346	673.3591024	530.8342491	533.1816931	832.3793738	1035.092707	845.3041422	842.1960085	1006.394734
ENSMUSG00000034610		401.3606437	601.2701059	333.8084279	429.9826124	487.0446747	676.1837032	481.898994	591.4943552	255.4212405	552.4284415	545.4528786	294.0315724	429.1293646	387.4735647	392.4174431	332.0140011
ENSMUSG00000034612		62.60841044	42.71595152	22.76325217	293.8384391	95.66823534	60.17571927	376.5245322	140.1272057	29.09900557	328.8836237	133.794031	224.0101251	131.1004592	45.88501466	83.04153343	70.59626245
ENSMUSG00000034613		439.7775867	332.5550396	292.03889	334.1843685	321.8235031	346.5526867	279.5092717	581.024862	388.698648	308.3767475	310.2842149	177.6991137	288.1879194	291.7951706	302.4142493	263.0244741
ENSMUSG00000034614		62.24065907	54.11142411	80.43692634	72.10778007	70.29530226	84.24644927	75.50074681	127.7901826	21.06419106	141.8380548	92.78374606	19.24917992	99.65381439	55.62429119	38.23444141	40.9707712
ENSMUSG00000034616		751.6034924	959.5790104	770.5266493	762.3626218	596.3349946	834.3606484	609.8733134	858.306173	616.0017645	713.5542547	680.2343132	765.4482238	929.2702009	847.1216854	816.2212941	790.1949615
ENSMUSG00000034617		133.3236305	85.44714517	93.36268729	35.11380052	45.25371508	94.15314445	70.8356339	10.61838252	146.5313505	77.07458337	74.71115515	64.83692793	60.217004	76.67046564	63.20653312	76.39351292
ENSMUSG00000034620		239.6318249	354.8774588	394.8060342	290.534816	660.9182813	344.1821806	316.5120937	532.3051369	296.0264575	244.5308437	377.9110136	398.5503346	359.6744115	573.449004	684.0115483	386.988586
ENSMUSG00000034621		369.2040535	467.857168	311.4443329	367.0956216	382.6918224	442.074127	375.6464712	485.1163533	441.6198611	404.1212647	481.2197849	353.6177899	400.1947893	340.9035654	635.6263154	347.2154219
ENSMUSG00000034634		639.6189657	172.1703861	561.0505545	2668.367652	739.8510766	953.7983681	1219.426373	1998.154859	729.7896257	1161.178299	1291.716429	1919.384973	1152.586178	1404.497313	747.755954	1182.011915
ENSMUSG00000034636		482.1992383	528.2081078	411.7404751	514.5148945	729.0701747	475.5173173	601.2722205	677.3934133	491.2919275	534.8340433	630.8879495	526.0820447	465.3666557	558.0887677	621.1031747	583.1418252
ENSMUSG00000034640		142.1566868	269.1878784	135.6096529	214.618751	272.0322311	311.3655366	240.2972656	1039.682332	166.9899432	188.0564082	395.1496171	330.9887247	211.1001759	406.7481364	290.1674709	251.3762765
ENSMUSG00000034647		275.3901223	180.3388781	141.5175548	222.3431463	217.1791402	161.0906707	176.7480089	157.8360417	173.9342784	167.6037481	152.5390907	227.1684484	136.542132	135.5866019	166.454471	94.44034879
ENSMUSG00000034652		16.53789385	15.35403081	16.26129298	66.38075684	19.65147084	10.45547806	78.96103483	7.377188982	12.99907027	125.411143	59.16553357	20.38988986	12.10966921	12.21439166	14.19670482	44.58542845
ENSMUSG00000034653		181.8295202	172.4169138	93.07775175	112.7459882	100.3674717	145.4448072	127.2502792	192.92057	172.0666362	119.3643294	168.2566406	112.0973664	106.2344971	120.0115757	141.4289008	104.0634501
ENSMUSG00000034659		565.8601035	603.3306787	591.5641168	483.1639765	570.591034	541.7800492	382.7315214	356.0945008	741.1103875	551.380559	861.1700055	651.6644654	611.9333945	355.3514049	410.3432187	523.8525309
ENSMUSG00000034663		234.5591577	325.5949557	220.5630433	228.5739591	402.3817248	293.0148804	260.4507162	417.6792752	225.4319334	202.6517569	360.7468757	364.8406572	302.0061984	343.3199132	410.7803843	301.4881636
ENSMUSG00000034673		350.5435471	464.1862856	395.6283164	322.0967821	372.0394654	372.8442705	316.9547776	323.3631919	411.4758178	376.2428222	397.8920895	367.8173405	491.6535038	447.6293794	438.4728104	326.9204896
ENSMUSG00000034674		644.0595844	1041.128358	681.3930633	1510.070174	1870.016054	1554.159382	1613.131869	1583.735061	960.9532399	1537.964052	1844.418793	1622.495158	1945.546569	1930.831845	1762.21582	2081.855008
ENSMUSG00000034675		68.91849298	75.26831417	98.53357115	940.8915021	64.73893566	87.98914508	428.9170623	113.0311262	45.41329878	660.854148	152.2321765	173.5100112	63.21094753	50.11156271	53.99960792	59.46316375
ENSMUSG00000034681		1153.454095	1112.849682	1168.613775	1066.945659	1464.562371	1189.848537	1083.368286	1518.226349	1231.453861	1112.464071	1188.418251	1302.762333	1200.345791	1327.138842	1345.45676	1147.812738
ENSMUSG00000034684		293.7208495	305.0125206	152.8118052	674.5857734	201.3650581	378.2279871	959.324116	253.6291237	146.9147315	697.6933628	441.3714096	229.1594043	229.4237358	87.49580163	292.6704176	172.6614263
ENSMUSG00000034685		8.21031569	32.93051545	61.25589061	118.3535972	48.30098664	121.4073606	63.87671908	13.78036339	9.043723656	95.97739955	36.80474427	61.84951911	23.90643343	7.983510343	15.05846566	58.83320527
ENSMUSG00000034707		887.4123759	949.1337006	550.1008382	848.9378943	831.3104613	1186.132144	984.8691355	1220.852553	623.6494598	970.8062969	1080.380611	667.4067629	832.933704	782.8001954	886.4396467	514.8457405
ENSMUSG00000034708		2146.944804	3703.652116	1252.972092	2858.515702	1708.845505	3676.17014	3235.783593	4434.034304	1045.633409	3247.227622	2870.791256	1289.334816	1813.265021	2494.299423	2601.046104	1595.661718
